,beta,Defender's Losses,Attacker's Gains
0,0.01,0.12437810945273632,0.003316749585406302
1,0.02,0.17163990969637594,0.17163989849475897
2,0.03,4.958677685950413,0.4958677685950413
3,0.04,0.33003300330033003,0.33003300330033003
4,0.05,8.237232289950576,0.8237232289950577
5,0.06,0.4934210526315789,0.4934210526315789
6,0.07,0.8045977011494253,0.22988505747126436
7,0.08,13.114754098360656,1.3114754098360655
8,0.09,14.729950900163665,1.4729950900163664
9,0.1,16.339869281045754,1.6339869281045754
10,0.11,0.8972267536704732,0.8972267536704732
11,0.12,2.9315960912052113,0.3908794788273615
12,0.13,1.056910569105691,1.056910569105691
13,0.14,1.1363636363636365,1.1363636363636365
14,0.15,1.2155591572123177,1.2155591572123177
15,0.16,1.2944983818770228,1.2944983818770228
16,0.17,1.3731825525040386,1.3731825525040386
17,0.18,1.4516129032258063,1.4516129032258063
18,0.19,1.5297906602254427,1.5297906602254427
19,0.2,1.607717041800643,1.607717041800643
20,0.21,1.6853932584269662,1.6853932584269662
21,0.22,1.7628205128205128,1.7628205128205128
22,0.23,5.520000000000001,0.7360000000000001
23,0.24,1.9169329073482428,1.9169329073482428
24,0.25,1.993620414673046,1.993620414673046
25,0.26,2.0700636942675157,2.0700636942675157
26,0.27,42.55808550057459,42.55808550057459
27,0.28,2.2222222222222223,2.2222222222222223
28,0.29,2.2979397781299524,2.2979397781299524
29,0.3,2.373417721518987,2.373417721518987
30,0.31,2.448657187993681,2.448657187993681
31,0.32,2.523659305993693,2.523659305993693
32,0.33,2.598425196850394,2.598425196850394
33,0.34,2.6729559748427674,2.6729559748427674
34,0.35,2.7472527472527473,2.7472527472527473
35,0.36,2.8213166144200623,2.8213166144200623
36,0.37,2.8951486697965567,2.8951486697965567
37,0.38,4.15625,1.1875
38,0.39,4.258970358814351,1.2168486739469575
39,0.4,3.115264797507788,3.115264797507788
40,0.41,3.1881804043545876,3.1881804043545876
41,0.42,3.260869565217391,3.260869565217391
42,0.43,4.666666666666666,1.333333333333333
43,0.44,4.767801857585139,1.3622291021671826
44,0.45,4.868624420401854,1.391035548686244
45,0.46,3.5493827160493834,3.5493827160493834
46,0.47,3.620955315870569,3.620955315870569
47,0.48,3.692307692307692,3.692307692307692
48,0.49,3.763440860215054,3.763440860215054
49,0.5,3.834355828220859,3.834355828220859
50,0.51,3.9050535987748853,3.9050535987748853
51,0.52,3.9755351681957185,3.9755351681957185
52,0.53,4.045801526717558,4.045801526717558
53,0.54,4.115853658536585,4.115853658536585
54,0.55,4.185692541856925,4.185692541856925
55,0.56,4.255319148936171,4.255319148936171
56,0.57,4.3247344461305,4.3247344461305
57,0.58,4.393939393939394,4.393939393939394
58,0.59,4.4629349470499236,4.4629349470499236
59,0.6,90.953954284754,14.716049412293074
60,0.61,92.64667699197327,14.903881428093325
61,0.62,94.33433166713499,15.091151066649786
62,0.63,4.736842105263158,4.736842105263158
63,0.64,4.804804804804805,4.804804804804805
64,0.65,4.872563718140929,4.872563718140929
65,0.66,4.9401197604790426,4.9401197604790426
66,0.67,100.14947683109116,10.014947683109117
67,0.68,26.3445229675268,24.940579157822313
68,0.69,27.865556365791953,25.126402960772925
69,0.7,29.38207631183682,25.3116753628601
70,0.71,30.89410286544886,25.496398828696098
71,0.72,32.40165596771894,25.680575749068193
72,0.73,33.90475544191728,25.864208559273436
73,0.74,35.403420994362875,26.047299705693117
74,0.75,36.89767221528426,26.229851538469656
75,0.76,38.38752857967354,26.411866462671416
76,0.77,39.87300944813216,26.59334683497248
77,0.78,41.35413406770968,26.77429501884981
78,0.79,130.61867606090988,14.128934030218211
79,0.8,44.30339098564039,27.13460408578372
80,0.81,5.929721815519767,5.929721815519767
81,0.82,5.994152046783625,5.994152046783625
82,0.83,6.058394160583941,6.058394160583941
83,0.84,6.1224489795918355,6.1224489795918355
84,0.85,115.00362661845706,16.643840372999154
85,0.86,6.25,6.25
86,0.87,51.87806386220903,32.74375308567832
87,0.88,55.92994137886994,28.55501327433509
88,0.89,57.36438590790476,28.730258578088225
89,0.9,58.794696591035134,28.904998834070327
90,0.91,60.22089127219857,29.0792362510164
91,0.92,61.64298769278447,29.252973010435362
92,0.93,63.06100349236439,29.42621118307534
93,0.94,135.0574712643678,13.505747126436779
94,0.95,65.8848632820858,29.771200587096946
95,0.96,67.29074204882572,29.94295599231162
96,0.97,68.69260974918402,30.114221389503363
97,0.98,70.09047250954619,30.28499817224423
98,0.99,90.53843495822984,37.86555949925521
