,alpha,Defender's Losses,Attacker's Gains
0,0.01,0.0,0.0
1,0.02,1200.3240678313996,177.48395283731637
2,0.03,0.0,0.0
3,0.04,1171.9582023338671,170.15257737457344
4,0.05,0.0,0.0
5,0.06,1120.3990048307433,163.61932231082315
6,0.07,0.0,0.0
7,0.08,1098.988728620327,158.91808155937832
8,0.09,0.0,0.0
9,0.1,0.0,0.0
10,0.11,0.0,0.0
11,0.12,0.0,0.0
12,0.13,1098.980843422097,163.8012914161822
13,0.14,0.0,0.0
14,0.15,0.0,0.0
15,0.16,0.0,0.0
16,0.17,598.1503778775946,111.23970281550713
17,0.18,579.8514737447736,109.06631404482711
18,0.19,551.0172264550721,103.70145050107543
19,0.2,533.6686932034198,101.44839388969072
20,0.21,517.1652002565074,99.28371942447592
21,0.22,510.9251820382498,99.8495045362815
22,0.23,486.4594316869454,95.19632618317881
23,0.24,472.15409559478826,93.26341389488933
24,0.25,473.6845615554624,95.70810485242725
25,0.26,462.46710741930104,94.4581521725662
26,0.27,451.7790126164683,93.26610245232965
27,0.28,441.5847067910817,92.12810549372105
28,0.29,431.85151152927267,91.04067271463951
29,0.3,422.5496028300804,90.00060112377648
30,0.31,413.65175484231736,89.0049355127669
31,0.32,405.13287992615153,88.05097163362112
32,0.33,396.96991735276265,87.13621781174977
33,0.34,389.1416099110195,86.2583736832512
34,0.35,381.6283205167906,85.41532017808879
35,0.36,374.4119858470243,84.60508122498314
36,0.37,367.47575245605475,83.82584846438327
37,0.38,0.0,0.0
38,0.39,0.0,0.0
39,0.4,0.0,0.0
40,0.41,0.0,0.0
41,0.42,0.0,0.0
42,0.43,0.0,0.0
43,0.44,0.0,0.0
44,0.45,275.280253962397,64.00991617548476
45,0.46,269.20495233662524,62.99656642840668
46,0.47,263.33344591043465,62.008394874218965
47,0.48,305.9049036892058,76.89021941443819
48,0.49,0.0,0.0
49,0.5,0.0,0.0
50,0.51,0.0,0.0
51,0.52,0.0,0.0
52,0.53,0.0,0.0
53,0.54,0.0,0.0
54,0.55,0.0,0.0
55,0.56,0.0,0.0
56,0.57,0.0,0.0
57,0.58,0.0,0.0
58,0.59,0.0,0.0
59,0.6,0.0,0.0
60,0.61,0.0,0.0
61,0.62,0.0,0.0
62,0.63,0.0,0.0
63,0.64,0.0,0.0
64,0.65,0.0,0.0
65,0.66,0.0,0.0
66,0.67,178.31554585460336,46.51260160333315
67,0.68,273.1098287544601,79.8673949945611
68,0.69,251.77331634659805,53.70267283658676
69,0.7,169.48251718561283,44.7457722429273
70,0.71,166.70353959009927,44.18243878535957
71,0.72,164.00242533099282,43.63134401708458
72,0.73,224.36680473221384,67.66754401375545
73,0.74,222.0895879835197,67.40977545915194
74,0.75,156.33863754121117,42.04819602830024
75,0.76,153.92221783625786,41.54282849344873
76,0.77,190.9847384401094,67.43758551531985
77,0.78,190.9847384401094,67.43758551531985
78,0.79,190.9847384401094,67.43758551531985
79,0.8,190.9847384401094,67.43758551531985
80,0.81,190.9847384401094,67.43758551531985
81,0.82,190.9847384401094,67.43758551531985
82,0.83,190.9847384401094,67.43758551531985
83,0.84,147.05882352941177,19.607843137254903
84,0.85,147.0588235294109,19.607843137254786
85,0.86,147.05882352941177,19.607843137254903
86,0.87,147.05882352941177,19.607843137254903
87,0.88,147.05882352941177,19.607843137254903
88,0.89,147.05882352941177,19.607843137254903
89,0.9,147.05882352941177,19.607843137254903
90,0.91,124.36404350389273,35.098009242046665
91,0.92,0.0,0.0
92,0.93,147.05882352941177,19.607843137254903
93,0.94,147.05882352941177,19.607843137254903
94,0.95,147.05882352941177,19.607843137254903
95,0.96,147.05882352941177,19.607843137254903
96,0.97,147.05882352941177,19.607843137254903
97,0.98,147.05882352941177,19.607843137254903
98,0.99,112.53380977552362,32.36724916538266
