,alpha,Defender's Losses,Attacker's Gains
0,0.01,1145.7531027928474,167.86461571597675
1,0.02,1082.8785850426618,161.0994241725097
2,0.03,1027.7254363120276,154.7723243178785
3,0.04,975.0226954121748,148.6915008476636
4,0.05,930.3886983059494,142.06101064338395
5,0.06,894.8053236194307,135.59585516026831
6,0.07,861.1351850083031,129.80976200928168
7,0.08,829.3383975703101,125.23593734530874
8,0.09,798.7321043977436,120.99439552570016
9,0.1,770.5600618101909,117.01175580513728
10,0.11,744.8782149738734,113.20637346392898
11,0.12,720.5444034923233,109.7870501192063
12,0.13,697.6399373169791,106.57309485099576
13,0.14,676.9146483770947,103.51047518447602
14,0.15,656.9412423069301,100.57728703411324
15,0.16,638.4711391583124,97.98078599596097
16,0.17,621.2942832632891,95.5137971324661
17,0.18,604.1731995743877,92.99976577232555
18,0.19,589.2224561681355,90.78982907627294
19,0.2,574.8215814535451,88.71080537843294
20,0.21,561.3378150672496,86.73736838751122
21,0.22,548.1750753371804,84.8549967594525
22,0.23,535.3037200672558,83.0493919759375
23,0.24,524.2346461786243,81.3212947257267
24,0.25,512.7969877648636,79.66885888458239
25,0.26,502.4701422385899,77.99289308270963
26,0.27,492.57450210169424,76.60389870938523
27,0.28,482.87746167894693,74.94801266663413
28,0.29,471.35497679021984,73.62851629260285
29,0.3,451.30583769209613,72.6598196416588
30,0.31,435.40688793663514,71.57403886568207
31,0.32,428.41249227088866,70.75761230456563
32,0.33,421.94026968013566,70.04723113925881
33,0.34,415.16162840536253,69.22381750238226
34,0.35,408.99828787232224,68.52264497838377
35,0.36,402.1220190811557,67.61638094502221
36,0.37,396.06308840983013,66.87630008035019
37,0.38,390.4565921624181,66.28759573310644
38,0.39,384.2869468469284,65.44441630892118
39,0.4,379.41903896334077,64.93096070369468
40,0.41,373.62957764329974,64.1679460757765
41,0.42,367.27539708671503,63.438879037302854
42,0.43,362.1026362965373,62.80103464478486
43,0.44,355.8943893187715,62.04124878841607
44,0.45,351.44678851484406,61.409301834620635
45,0.46,345.5927992238428,60.70318467473012
46,0.47,340.9406850662884,60.10759317916062
47,0.48,336.1202764427878,59.54063814355921
48,0.49,331.2082322193103,58.86530161571021
49,0.5,326.0171105169033,58.151863513202144
50,0.51,321.0583626083142,57.633404297868324
51,0.52,317.50185459728414,57.21107932827428
52,0.53,312.54154874931373,56.588917659717666
53,0.54,308.65946242789914,56.25499272872082
54,0.55,304.2904965739257,55.840507928624014
55,0.56,300.4844426606596,55.30012404530068
56,0.57,296.8532908607182,55.028931955940905
57,0.58,292.7832562532946,54.560408290243416
58,0.59,289.4866485835196,54.464671241630775
59,0.6,286.0518854976563,54.236408237069995
60,0.61,282.59730328609174,53.86767879072052
61,0.62,279.7524643317253,53.881937043675904
62,0.63,276.82554755353664,53.65816937555362
63,0.64,274.2608107539291,53.615750176858434
64,0.65,271.8328724030645,53.666607225451514
65,0.66,269.85467472782085,53.64674118992497
66,0.67,268.1372408810616,53.863053281547806
67,0.68,267.0157642809344,54.30173526683256
68,0.69,265.40423517079813,54.61057472105509
69,0.7,265.4364633505217,55.32318807661845
70,0.71,265.60975050382586,55.75939229847656
71,0.72,266.86601986066404,56.74746754793499
72,0.73,268.6048022024201,57.9149631594033
73,0.74,272.151249680675,59.456740368537375
74,0.75,277.941921212776,61.37454641154305
75,0.76,286.2590987496661,64.17243679997895
76,0.77,298.612711033134,67.37047973128578
77,0.78,324.7637512672651,73.8297177913835
78,0.79,322.7344444555105,73.57484654961651
79,0.8,321.03756751945707,73.39695258290737
80,0.81,318.59029786632436,73.1777801602272
81,0.82,317.3696205662868,72.9905154363846
82,0.83,315.6750749154624,72.75632136957692
83,0.84,314.64951348994475,72.57775710978305
84,0.85,313.2438525787027,72.36965590081087
85,0.86,312.15864280357187,72.20214874436823
86,0.87,310.30289561562483,71.99402251666305
87,0.88,308.52416565518786,71.79127112486987
88,0.89,307.0386701696105,71.65190971571897
89,0.9,305.14839951780385,71.45385233712764
90,0.91,303.5120680065037,71.31806333498349
91,0.92,301.69837951739396,71.12763050239437
92,0.93,300.01555933239905,70.9431372073498
93,0.94,298.4658183078319,70.81812622500564
94,0.95,298.04539894367014,70.63921625981692
95,0.96,297.0540363296988,70.45775372801168
96,0.97,294.5727787931805,70.29442087405181
97,0.98,293.98450530125507,70.16898196614002
98,0.99,291.7253017048263,70.01030406212351
