,A,Defender's Losses,Attacker's Gains
0,0.01,443.92689450900605,100.84448209669588
1,0.02,426.03888852704483,98.60446564698933
2,0.03,412.45674198472983,96.8938403516594
3,0.04,401.1114346582565,95.45828286175059
4,0.05,391.200408486028,94.1991427675639
5,0.06,382.3114975096126,93.06575632927778
6,0.07,374.19952245388595,92.02798571263486
7,0.08,366.7045172853378,91.06616750718825
8,0.09,359.7152171108638,90.16662464090413
9,0.1,353.1504996630555,89.31938512274962
10,0.11,346.94903974694734,88.51691041044961
11,0.12,341.0631281182016,87.75333559077308
12,0.13,335.4547705367104,87.02399002256544
13,0.14,330.09311913619257,86.32508138990693
14,0.15,324.95271483568774,85.65347981604224
15,0.16,320.01225096451435,85.00656582058909
16,0.17,315.25367894633337,84.38212044809697
17,0.18,310.6615487043268,83.77824409000897
18,0.19,306.2225103074355,83.19329533617976
19,0.2,301.9249333736681,82.62584412460295
20,0.21,297.75861039864327,82.07463530140953
21,0.22,293.7145231532627,81.53855989445125
22,0.23,289.7846560047039,81.01663219267292
23,0.24,285.9618458542244,80.50797125743844
24,0.25,282.2396594678658,80.01178586054908
25,0.26,278.61229263262726,79.52736210264624
26,0.27,275.07448614909276,79.05405315058186
27,0.28,271.6214578296164,78.59127066629584
28,0.29,268.24884175437535,78.13847759810781
29,0.3,264.9526394237016,77.69518207846151
30,0.31,261.72917960304284,77.26093222715194
31,0.32,258.57507703176907,76.83531170085473
32,0.33,255.48720707032197,76.4179358618476
33,0.34,252.46267422535254,76.00844846364798
34,0.35,249.49879172308954,75.60651877068955
35,0.36,246.59305908801144,75.21183904443045
36,0.37,243.74314529009703,74.82412234039812
37,0.38,240.94687298066074,74.44310057035084
38,0.39,238.20220366220389,74.06852279151282
39,0.4,235.5072265268964,73.70015369113436
40,0.41,232.8601465526242,73.33777223974725
41,0.42,230.25927555852604,72.98117049067793
42,0.43,227.70302239604,72.63015250682682
43,0.44,225.18988666597232,72.2845333985727
44,0.45,222.71844989277588,71.94413845902793
45,0.46,220.2873707407949,71.60880238484565
46,0.47,217.89537822570867,71.27836857243568
47,0.48,215.54126706408934,70.95268848083838
48,0.49,213.22389345875257,70.63162105368208
49,0.5,210.94216793610929,70.31503219364811
50,0.51,208.69505727866488,70.00279428371553
51,0.52,206.48157493540197,69.69478575018297
52,0.53,204.30078083621214,69.39089066308595
53,0.54,202.1517778662907,69.09099837016146
54,0.55,200.0337089238148,68.79500316097182
55,0.56,197.94575510173948,68.50280395819706
56,0.57,195.88713225518742,68.21430403345046
57,0.58,194.05675479317978,67.92926092088966
58,0.59,192.2887726290249,67.64732291630862
59,0.6,190.53990332541346,67.36843289015549
60,0.61,189.5214321403321,67.09230235606026
61,0.62,188.55982813840336,66.81858805070324
62,0.63,187.60659791468538,66.54725732420273
63,0.64,186.66163276524088,66.27827917625571
64,0.65,185.72482557083373,66.01162314181613
65,0.66,184.79607116932004,65.74725927959238
66,0.67,183.8752661641882,65.48515816083986
67,0.68,182.96230916441533,65.22529085844036
68,0.69,182.05709955909276,64.96762893625923
69,0.7,181.15953987896287,64.7121444387726
70,0.71,180.2695332335474,64.45880988095625
71,0.72,179.38698477768563,64.20759823842887
72,0.73,178.51180112256674,63.958482937841914
73,0.74,177.64389045889482,63.711437847509146
74,0.75,176.7831625217201,63.46643726826878
75,0.76,175.92952845799783,63.22345592457161
76,0.77,175.0829009885722,62.9824689557885
77,0.78,174.2431941793077,62.74345190773114
78,0.79,173.41032351552147,62.50638072437981
79,0.8,172.58420591359527,62.271231739812414
80,0.81,171.76475950074195,62.037981670328996
81,0.82,170.95190380055908,61.80660760676638
82,0.83,170.14555960681662,61.5770870069973
83,0.84,169.34564884276688,61.34939768860937
84,0.85,168.55209515713233,61.12351782175829
85,0.86,167.764822896473,60.899425922191
86,0.87,166.98375777063256,60.67710084443368
87,0.88,166.20882640627036,60.45652177514046
88,0.89,165.43995758888462,60.237668226597876
89,0.9,164.67707970838347,60.020520030381604
90,0.91,163.9201232223013,59.80505733116054
91,0.92,163.16901960498538,59.5912605806448
92,0.93,162.4237010128917,59.379110531673476
93,0.94,161.68410101377418,59.16858823243848
94,0.95,160.95015401026626,58.95967502084096
95,0.96,160.22179543289775,58.75235251897642
96,0.97,159.49896170279635,58.5466026277455
97,0.98,158.7815902002725,58.34240752158684
98,0.99,158.0696192140934,58.139749643329
